title,company,location
Entry-level Data Scientist,CACI,"Bethesda, MD 20817"
Data Scientist,Micron,"Manassas, VA"
Data Scientist,Ofc of the Attorney General,"Washington, DC 20004 (Penn Quarter area)"
Data Scientist Level II,Greystones Consulting Group LLC,"Hybrid work in Washington, DC 20003"
Statistical Analyst-Remote eligible (Health Division),Mathematica Policy Research,"Remote in Washington, DC"
Data Scientist Healthcare,Intone Networks,"Hybrid work in Washington, DC 20001"
"Data Scientist, Senior",Booz Allen,"McLean, VA"
Data Scientist - Expert - Moon 451-02,Integrated Intel Solutions,"McLean, VA"
Data Scientist,Acuity INC,"Remote in Reston, VA 20190"
Principal Data Scientist - LLM Customization Team,Capital One,"McLean, VA"
Data Scientist,SAIC,"McLean, VA 22101"
Junior Data Scientist,Logistics Management Institute,"Washington, DC"
Lead Data Scientist,Hilton,"McLean, VA 22102"
Senior Data Scientist,Democratic Senatorial Campaign Committee,"Washington, DC 20002 (Capitol Hill area)"
Data Scientist,KeyLogic Systems,"Washington, DC"
